STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_IN_UNIFORM_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_PRECINCT,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME,WEAPON_FOUND_FLAG
2019-03-29,21:25:00,2019,March,Friday,Based on Radio Run,S,T,1,CPW,2,Y,CONFUSED; NON-COMPLIANT,40,MALE,BLACK,5.7,210,HEA,BRO,GRY,1,PBMS,MANHATTAN,Y
2019-05-07,13:47:00,2019,May,Tuesday,Based on Radio Run,none,none,1,CPW,10,Y,CALM,75,MALE,WHITE,5.7,150,THN,BRO,GRY,1,PBMS,MANHATTAN,Y
2019-05-07,13:47:00,2019,May,Tuesday,Based on Radio Run,O,P,1,CPW,10,Y,CALM,63,MALE,WHITE,6.1,200,MED,BRO,BRO,1,PBMS,MANHATTAN,N
2019-05-25,04:30:00,2019,May,Saturday,Based on Radio Run,O,P,1,CPW,5,Y,INTOX/COOPERATIVE,35,MALE,BLACK,6.2,250,HEA,BRO,BLD,1,PBMS,MANHATTAN,N
2019-06-24,20:12:00,2019,June,Monday,Based on Radio Run,O,P,1,CPW,5,Y,AGITATED,24,MALE,BLACK,6,170,THN,BRO,XXX,1,PBMS,MANHATTAN,N
2019-07-15,19:50:00,2019,July,Monday,Based on C/W on Scene,I,none,0,CPW,15,Y,COOPERATIVE/UNDERSTANDING,43,MALE,WHITE,5.1,240,MED,ZZZ,BLN,1,PBMS,MANHATTAN,N
2019-01-09,20:50:00,2019,January,Wednesday,Based on C/W on Scene,S,T,1,CPW,1,Y,CALM,20,MALE,BLACK,5.7,120,THN,BRO,BRO,1,PBMS,MANHATTAN,Y
2019-11-06,19:40:00,2019,November,Wednesday,Based on Radio Run,S,T,1,CPW,5,Y,COOPERATIVE,40,MALE,BLACK,5.8,190,MED,BRO,BLD,1,PBMS,MANHATTAN,N
2019-01-08,08:28:00,2019,January,Tuesday,Based on Radio Run,S,T,1,CPW,10,Y,CALM,39,MALE,WHITE,5.1,160,THN,BRO,BLK,5,PBMS,MANHATTAN,N
2019-05-04,13:23:00,2019,May,Saturday,Based on Radio Run,I,P,1,CPW,15,Y,CALM,24,MALE,BLACK,5.11,135,THN,BRO,BLK,5,PBMS,MANHATTAN,N
2019-05-04,13:23:00,2019,May,Saturday,Based on Radio Run,I,P,1,CPW,15,Y,CALM,22,MALE,BLACK,5.9,130,THN,BRO,BLK,5,PBMS,MANHATTAN,N
2019-05-08,08:34:00,2019,May,Wednesday,Based on Self Initiated,S,T,0,CPW,2,Y,RELAXED,-1,MALE,WHITE,6.2,170,THN,ZZZ,BRO,5,PBMS,MANHATTAN,N
2019-06-05,09:00:00,2019,June,Wednesday,Based on Self Initiated,S,none,1,CPW,4,Y,CALM,26,MALE,WHITE,5.9,175,MED,BLK,BRO,5,PBMS,MANHATTAN,N
2019-06-05,07:50:00,2019,June,Wednesday,Based on Self Initiated,S,none,1,CPW,4,Y,CALM,60,MALE,WHITE,5.11,180,MED,BRO,BLK,5,PBMS,MANHATTAN,N
2019-06-09,00:36:00,2019,June,Sunday,Based on Radio Run,none,P,0,CPW,20,Y,NERVOUS,16,MALE,BLACK,5.4,100,THN,BRO,BLK,5,PBMS,MANHATTAN,N
2019-06-09,00:39:00,2019,June,Sunday,Based on Radio Run,none,P,1,CPW,20,Y,CALM,15,MALE,BLACK,5,100,THN,BRO,BLK,5,PBMS,MANHATTAN,N
2019-09-03,14:11:00,2019,September,Tuesday,Based on Radio Run,O,P,2,CPW,10,Y,CALM,49,MALE,BLACK,5.3,120,THN,BRO,BLK,5,PBMS,MANHATTAN,Y
